HOLEID,FROM,TO,CU
DH-001,0,5,0.82
DH-001,5,9.05,1.47
DH-002,0,4.05,0.41
DH-003,0,5,0.57
DH-003,5,10,0.71
DH-004,0,4.35,0.88
DH-004,8.2,13.2,0.75
DH-005,0,5,1.33
DH-005,5,10,1.5
DH-006,0,5,0.63
DH-007,0,5,0.56
DH-007,5,7.68,0.4
DH-007,17.08,22.08,0.46
DH-007,22.08,24.9,0.4
DH-007,37.62,42.62,0.41
DH-007,42.62,47,0.57
DH-007,55.45,60.45,0.75
DH-007,60.45,65.45,0.78
DH-007,65.45,69.14,0.99
DH-007,71.35,76.35,1.36
DH-007,76.35,79.4,1.18
DH-007,88.75,93.75,0.79
DH-007,93.75,98.75,1.1
DH-008,0,5,0.59
DH-008,5,7.88,0.87
DH-008,10.83,15.83,0.64
DH-008,15.83,20.83,1.3
DH-008,20.83,25.83,1.28
DH-008,25.83,30.83,0.97
DH-008,30.83,35.83,0.65
DH-008,35.83,40.83,0.94
DH-008,40.83,45.83,1.38
DH-008,45.83,50.83,1.57
DH-008,50.83,55.83,1.29
DH-008,55.83,60.83,1.35
DH-008,60.83,65.83,1.49
DH-008,65.83,69.47,1.25
DH-009,0,5,0.83
DH-009,5,10,1.18
DH-009,10,15,0.86
DH-009,21.63,24.53,0.2
DH-009,25.26,29.63,0.43
DH-009,34.88,38.82,0.79
DH-010,0,3.4,0.6
DH-010,5.3,10.3,0.83
DH-010,20.6,25.6,1.12
DH-010,28.2,33.2,1.09
DH-010,33.2,36.7,0.81
DH-010,51.55,56.55,0.94
DH-010,61.25,66.25,0.99
DH-011,0,3.09,0.49
DH-011,5.11,10.03,0.78
DH-011,24.65,28.68,0.53
DH-011,51.73,55.14,0.66
DH-012,0,5,1.04
DH-012,25.3,30.3,0.58
DH-012,30.3,35.3,0.95
DH-012,35.3,39.05,0.87
DH-012,41.57,46.57,1.12
DH-012,46.57,51.57,1.34
DH-012,54.3,59.3,1.3
DH-012,59.3,64.3,1.39
DH-012,64.3,69.3,1.14
DH-012,72.25,76.29,0.91
DH-013,0,5,0.34
DH-014,0,4.41,0.37
DH-014,35.81,39.82,0.31
DH-014,58.34,61.77,0.45
DH-014,66.66,71.66,0.64
DH-014,71.66,76.66,0.57
DH-014,76.66,81.66,0.71
DH-014,81.66,86.66,1.17
DH-014,86.66,91.06,0.94
DH-015,0,4.62,0.4
DH-015,12.65,15.15,0.84
DH-015,29,34,0.35
DH-015,38.01,43.01,1.09
DH-015,43.01,48.01,0.47
DH-015,48.01,53.01,0.47
DH-015,61.25,64.4,0.92
DH-015,80.55,85.55,0.45
DH-015,85.55,90.55,0.96
DH-015,90.55,95.45,0.51
DH-016,0,5,0.46
DH-016,5,10,0.53
DH-016,28.15,33.15,0.96
DH-016,49.8,53.55,1.07
DH-016,70.5,75.5,1.2
DH-016,75.5,80.5,1.17
DH-017,0,5,0.76
DH-017,5,10,0.87
DH-017,10,15,1.2
DH-017,18.8,23.8,0.79
DH-017,23.8,28.8,0.56
DH-017,28.8,33.8,0.87
DH-017,33.8,38,1.06
DH-017,51.85,56.85,1.56
DH-017,56.85,61.85,0.94
DH-018,0,5,0.38
DH-018,5,10,0.55
DH-018,10,15,0.62
DH-018,15,20,0.83
DH-018,20,25,1.3
DH-018,25,30,1.79
DH-018,30,35,1.33
DH-018,35,40,1.21
DH-018,40,45,0.76
DH-018,45,50,0.83
DH-018,52.6,57.6,1.15
DH-018,57.6,62.6,1.15
DH-018,62.6,67.6,1.02
DH-018,67.6,72.6,1.38
DH-019,0,2.65,0.53
DH-019,10.95,14.09,0.75
DH-019,18.25,22.65,0.73
DH-019,45.45,50.45,0.71
DH-020,0,5,1.32
DH-020,13.28,18.28,0.78
DH-020,18.28,23.28,0.74
DH-020,23.28,28.28,0.62
DH-020,28.28,33.28,0.68
DH-020,33.28,38.28,0.83
DH-020,38.28,42.88,0.81
DH-020,45.21,50.21,0.92
DH-020,50.21,55.21,1.29
DH-020,55.21,60.21,1.38
DH-020,60.21,64.73,1.48
DH-021,0,4.23,0.56
DH-021,10.1,15.1,0.47
DH-021,15.1,20.1,0.61
DH-021,20.1,25.1,0.63
DH-021,28.65,33.65,1.08
DH-021,33.65,38.65,0.99
DH-021,38.65,43.65,0.82
DH-021,43.65,48.65,0.92
DH-021,48.65,53.65,1.1
DH-021,53.65,58.65,1
DH-021,58.65,61.47,0.91
DH-022,0,5,0.45
DH-022,5,10,0.4
DH-022,10,15,0.65
DH-023,0,5,0.65
DH-023,5,10,0.97
DH-023,10,15,0.86
DH-023,15,20,0.88
DH-023,20,22.9,0.94
DH-024,0,5,0.63
DH-024,5,10,0.58
DH-024,10,15,0.73
DH-024,15,20,0.79
DH-024,20,24,1.02
DH-024,31.8,36.8,1.18
DH-024,36.8,41.8,1.06
DH-024,44.65,49.65,0.93
DH-024,49.65,54.65,0.53
DH-024,54.65,59.65,0.54
DH-024,66.65,71.65,0.82
DH-024,71.65,76.65,1.44
DH-024,76.65,80.85,1.44
DH-025,0,5,1.12
DH-025,5,10,0.75
DH-025,10,14.83,0.83
DH-025,27,31.82,0.72
DH-025,45.67,50.67,0.87
DH-025,50.67,54.94,1.44
DH-026,0,5,0.58
DH-026,5,10,0.66
DH-026,10,15,1.02
DH-026,15,20,1
DH-026,20,25,0.63
DH-026,25,30,0.5
DH-026,34.9,39.9,0.47
DH-026,47.5,52.5,0.73
DH-026,57.75,62.75,1.12
DH-026,62.75,67.25,0.94
DH-027,0,5,1.6
DH-027,5,10,0.5
DH-027,18.5,23.5,0.61
DH-027,23.5,28.5,0.45
DH-028,0,5,0.88
DH-028,5,10,1.07
DH-028,10,15,1.3
DH-028,15,20,1.23
DH-028,25.72,30.72,0.55
DH-028,30.72,35.72,0.57
DH-028,35.72,40.72,0.64
DH-029,0,5,0.56
DH-029,5,10,0.8
DH-029,10,15,0.5
DH-029,15,20,0.56
DH-029,20,25,0.73
DH-029,25,30,0.66
DH-029,30,35,1.12
DH-029,35,40,1.37
DH-029,40,45,1.2
DH-029,45,50,0.86
DH-029,50,54.35,0.73
DH-030,0,5,0.34
DH-030,5,10,0.47
DH-030,10,15,0.51
DH-030,15,20,0.73
DH-030,20,24.17,0.53
DH-030,30.17,35.17,0.63
DH-030,41.89,44.4,0.52
DH-031,0,5,0.48
DH-031,5,10,0.73
DH-031,10,15,0.96
DH-031,15,20,1.11
DH-031,24.38,29.38,0.92
DH-031,29.38,34.38,0.93
DH-031,34.38,39.38,1.1
DH-031,39.38,44.38,1.03
DH-031,44.38,49.38,0.95
DH-031,49.38,54.38,0.85
DH-031,54.38,57.28,0.9
DH-031,66.05,68.6,1.11
DH-031,73.66,78.25,0.99
DH-032,0,4.75,0.51
DH-032,18.13,23.13,0.7
DH-032,23.13,26.43,0.8
DH-032,30.77,35.77,0.76
DH-032,35.77,38.82,1.16
DH-032,40.95,45.95,0.87
DH-032,45.95,50.95,0.8
DH-032,54.65,59.65,0.94
DH-032,59.65,62.9,0.87
DH-033,0,5,0.73
DH-033,5,10,0.77
DH-033,10,13.75,0.8
DH-034,0,5,0.59
DH-034,5,8.2,0.77
DH-034,12.95,16.35,0.45
DH-035,0,5,0.92
DH-035,5,10,0.85
DH-035,10,15,0.58
DH-035,15,19.35,0.67
DH-035,33.8,38.8,1.03
DH-035,38.8,43.8,0.66
DH-035,56.4,61.2,0.57
DH-036,0,5,0.44
DH-036,5,10,0.87
DH-036,18.75,23.75,1.48
DH-036,23.75,28.75,1.31
DH-036,28.75,33.75,1.97
DH-036,48.4,53.4,0.76
DH-036,53.4,58.4,0.59
DH-036,58.4,61.5,0.99
DH-037,0,5,2.22
DH-037,5,10,3.43
DH-037,10,12.9,2.5
DH-038,0,5,0.44
DH-038,10.65,15.65,0.31
DH-038,15.65,18.95,0.2
DH-039,0,5,0.68
DH-039,5,7.65,0.74
DH-039,15.3,20.3,0.52
DH-039,26.15,31.15,0.25
DH-039,31.15,34.05,0.37
DH-040,0,3.35,0.46
DH-040,28.6,32.2,0.88
DH-040,40.9,45.9,1.34
DH-040,45.9,50.9,0.84
DH-040,50.9,55.9,1.42
DH-041,0,5,1.05
DH-041,17.65,22.65,0.39
DH-041,22.65,25.45,0.24
DH-041,34.25,39.15,0.4
DH-041,70.3,74.7,0.56
DH-042,0,5,1.05
DH-042,5,8.75,1.36
DH-042,14.1,19.1,0.56
DH-042,19.1,24.1,0.66
DH-042,24.1,29.1,0.62
DH-042,33.3,35.85,0.32
DH-043,0,5,0.55
DH-043,5,10,0.75
DH-043,10,12.95,0.28
DH-043,17.95,22.95,0.5
DH-043,22.95,27.95,0.69
DH-043,27.95,32.95,0.55
DH-043,40.25,45.25,0.99
DH-043,45.25,48.85,0.96
DH-044,0,2.7,0.75
DH-044,80.55,84.35,0.28
DH-044,88.6,91.3,0.47
DH-045,0,2.9,0.44
DH-045,7.55,10.35,0.42
DH-046,0,5,1.82
DH-046,5,10,1.47
DH-046,10,15,0.78
DH-046,22.3,25.55,0.34
DH-047,0,2.7,0.7
DH-047,22.15,27.15,1.41
DH-047,27.15,31.4,0.98
DH-047,33.75,38.75,0.6
DH-047,38.75,41.7,0.4
DH-047,51.7,56.05,0.71
DH-047,67.1,72.1,0.65
DH-047,72.1,77.1,1.08
DH-048,0,5,0.74
DH-048,5,10,0.88
DH-048,10,15,1.62
DH-048,15,20,1.34
DH-048,20,25,3.32
DH-048,25,30,0.46
DH-049,0,5,0.47
DH-049,8.8,13.8,0.53
DH-049,13.8,18.8,0.52
DH-049,39.85,44.85,0.44
DH-049,50.6,55.6,0.28
DH-049,55.6,59.85,0.31
DH-049,63.35,68.35,0.63
DH-049,78.2,80.8,0.96
DH-050,0,4.2,0.66
DH-050,17.45,22.45,0.53
DH-050,74.4,79.4,0.32
DH-050,88.15,93.15,1.34
DH-050,93.15,98.15,1.28
DH-050,98.15,103.15,1.51
DH-050,103.15,108.15,1.42
DH-050,108.15,111.1,0.7
DH-051,0,5,0.82
DH-052,0,5,1.1
DH-052,5,8.8,0.22
DH-052,14.55,17.65,0.3
DH-052,26.5,31.5,1.1
DH-052,31.5,35.8,0.6
DH-053,0,5,0.92
DH-053,5,10,0.84
DH-053,10,15,0.83
DH-053,17.15,22.15,0.7
DH-053,22.15,27.15,0.71
DH-053,27.15,32.15,0.63
DH-053,32.15,37.15,0.61
DH-053,37.15,42.15,0.7
DH-053,66.85,70.7,1.29
DH-054,0,5,0.66
DH-054,8.8,13.8,0.78
DH-054,13.8,18.65,0.66
DH-054,50.05,55.05,0.9
DH-054,55.05,60.05,1.24
DH-054,60.05,64.35,0.98
DH-054,71.05,76.05,1.05
DH-054,79.25,83.65,1.04
DH-054,99.7,104.7,1.23
DH-055,0,5,0.5
DH-055,5,10,0.73
DH-055,10,12.7,0.33
DH-055,21.25,26.25,0.82
DH-055,26.25,31.25,0.99
DH-055,31.25,36.25,0.9
DH-055,36.25,41.25,0.88
DH-055,41.25,46.25,0.97
DH-055,46.25,51.25,0.87
DH-055,51.25,53.8,0.98
DH-055,58.4,61.35,0.87
DH-055,66.95,71.95,0.76
DH-055,106.05,109.9,0.52
DH-056,0,5,0.37
DH-056,5,7.5,0.56
DH-056,14.15,17.9,0.55
DH-056,52.9,57.9,0.85
DH-056,57.9,62.9,1.16
DH-056,62.9,67.9,1.09
DH-056,67.9,72.9,1.23
DH-056,77.35,82.35,1.14
DH-056,82.35,87.35,1.2
DH-056,87.35,92.35,1.05
DH-056,92.35,97.35,0.87
DH-057,0,5,0.57
DH-057,5,10,0.63
DH-057,50.9,55.4,0.4
DH-057,57.7,62.7,0.45
DH-057,62.7,66.85,0.49
DH-057,89,94,0.67
DH-057,94,99,0.49
DH-057,99,104,0.73
DH-057,104,109,0.92
DH-057,109,114,1.06
DH-058,0,4.8,0.86
DH-058,82.45,87.45,2.37
DH-058,87.45,91.9,2.7
DH-058,95.6,100.6,1.56
DH-058,100.6,105.6,3.02
DH-058,105.6,110.6,2.21
DH-058,116.7,120.1,1.71
DH-059,0,5,0.78
DH-059,28.6,33.6,1.52
DH-059,36.65,41.65,2.34
DH-059,50.95,55.95,0.78
DH-059,66.15,71.15,1.84
DH-059,86.9,91.9,0.94
DH-059,91.9,96.9,0.88
DH-059,96.9,99.55,0.62
DH-060,0,5,0.55
DH-060,5,8.8,0.7
DH-060,19.6,24.6,0.59
DH-061,0,5,0.9
DH-061,5,9.55,0.6
DH-061,12.2,17.2,1
DH-061,34.55,39.55,1.07
DH-061,39.55,44.55,1.03
DH-061,44.55,49.55,1.16
DH-061,49.55,54.55,1.46
DH-061,54.55,59.55,1.1
DH-061,59.55,64.55,0.93
DH-061,64.55,68.1,0.9
DH-062,0,5,0.31
DH-062,13.9,17.5,0.67
DH-062,22.05,27.05,1.42
DH-062,27.05,31.85,1.23
DH-062,43.85,48.3,1.75
DH-062,59.5,64.5,0.4
DH-062,64.5,69.5,0.55
DH-063,0,5,0.48
DH-063,5,8,0.45
DH-063,16.25,21.25,0.3
DH-063,21.25,25.7,0.2
DH-063,45.8,50.8,0.53
DH-063,50.8,55.8,0.57
DH-063,55.8,60.8,0.65
DH-063,67.4,72.4,1.13
DH-063,72.4,77.4,1.31
DH-063,77.4,81.1,0.72
DH-063,83.9,88.9,0.55
DH-063,88.9,93.9,0.65
DH-063,93.9,98.9,1.06
DH-063,98.9,103.9,1.2
DH-064,0,5,0.31
