HOLEID,FROM,TO,LITH
DH-001,0,5,TnP
DH-001,5,9.05,TnP
DH-002,0,4.05,TnP
DH-003,0,5,TnP
DH-003,5,10,TnP
DH-004,0,4.35,TnP
DH-004,8.2,13.2,TnP
DH-005,0,5,TnP
DH-005,5,10,TnP
DH-006,0,5,GnP
DH-007,0,5,TnP
DH-007,5,7.68,TnP
DH-007,17.08,22.08,TnP
DH-007,22.08,24.9,TnP
DH-007,37.62,42.62,GnP
DH-007,42.62,47,GnP
DH-007,55.45,60.45,GnP
DH-007,60.45,65.45,GnP
DH-007,65.45,69.14,GnP
DH-007,71.35,76.35,MzP
DH-007,76.35,79.4,MzP
DH-007,88.75,93.75,MzP
DH-007,93.75,98.75,MzP
DH-008,0,5,TnP
DH-008,5,7.88,TnP
DH-008,10.83,15.83,TnP
DH-008,15.83,20.83,TnP
DH-008,20.83,25.83,TnP
DH-008,25.83,30.83,TnP
DH-008,30.83,35.83,GnP
DH-008,35.83,40.83,GnP
DH-008,40.83,45.83,GnP
DH-008,45.83,50.83,GnP
DH-008,50.83,55.83,GnP
DH-008,55.83,60.83,GnP
DH-008,60.83,65.83,GnP
DH-008,65.83,69.47,MzP
DH-009,0,5,TnP
DH-009,5,10,TnP
DH-009,10,15,TnP
DH-009,21.63,24.53,TnP
DH-009,25.26,29.63,TnP
DH-009,34.88,38.82,GnP
DH-010,0,3.4,TnP
DH-010,5.3,10.3,TnP
DH-010,20.6,25.6,TnP
DH-010,28.2,33.2,TnP
DH-010,33.2,36.7,TnP
DH-010,51.55,56.55,GnP
DH-010,61.25,66.25,GnP
DH-011,0,3.09,TnP
DH-011,5.11,10.03,TnP
DH-011,24.65,28.68,TnP
DH-011,51.73,55.14,GnP
DH-012,0,5,TnP
DH-012,25.3,30.3,TnP
DH-012,30.3,35.3,GnP
DH-012,35.3,39.05,GnP
DH-012,41.57,46.57,GnP
DH-012,46.57,51.57,GnP
DH-012,54.3,59.3,GnP
DH-012,59.3,64.3,GnP
DH-012,64.3,69.3,MzP
DH-012,72.25,76.29,MzP
DH-013,0,5,TnP
DH-014,0,4.41,TnP
DH-014,35.81,39.82,GnP
DH-014,58.34,61.77,GnP
DH-014,66.66,71.66,MzP
DH-014,71.66,76.66,MzP
DH-014,76.66,81.66,MzP
DH-014,81.66,86.66,MzP
DH-014,86.66,91.06,MzP
DH-015,0,4.62,TnP
DH-015,12.65,15.15,TnP
DH-015,29,34,GnP
DH-015,38.01,43.01,GnP
DH-015,43.01,48.01,GnP
DH-015,48.01,53.01,GnP
DH-015,61.25,64.4,MzP
DH-015,80.55,85.55,MzP
DH-015,85.55,90.55,MzP
DH-015,90.55,95.45,MzP
DH-016,0,5,TnP
DH-016,5,10,TnP
DH-016,28.15,33.15,TnP
DH-016,49.8,53.55,GnP
DH-016,70.5,75.5,GnP
DH-016,75.5,80.5,MzP
DH-017,0,5,TnP
DH-017,5,10,TnP
DH-017,10,15,TnP
DH-017,18.8,23.8,TnP
DH-017,23.8,28.8,TnP
DH-017,28.8,33.8,TnP
DH-017,33.8,38,TnP
DH-017,51.85,56.85,GnP
DH-017,56.85,61.85,GnP
DH-018,0,5,TnP
DH-018,5,10,TnP
DH-018,10,15,TnP
DH-018,15,20,TnP
DH-018,20,25,TnP
DH-018,25,30,TnP
DH-018,30,35,TnP
DH-018,35,40,TnP
DH-018,40,45,GnP
DH-018,45,50,GnP
DH-018,52.6,57.6,GnP
DH-018,57.6,62.6,GnP
DH-018,62.6,67.6,GnP
DH-018,67.6,72.6,GnP
DH-019,0,2.65,TnP
DH-019,10.95,14.09,TnP
DH-019,18.25,22.65,TnP
DH-019,45.45,50.45,GnP
DH-020,0,5,TnP
DH-020,13.28,18.28,TnP
DH-020,18.28,23.28,TnP
DH-020,23.28,28.28,TnP
DH-020,28.28,33.28,TnP
DH-020,33.28,38.28,TnP
DH-020,38.28,42.88,GnP
DH-020,45.21,50.21,GnP
DH-020,50.21,55.21,GnP
DH-020,55.21,60.21,GnP
DH-020,60.21,64.73,GnP
DH-021,0,4.23,TnP
DH-021,10.1,15.1,TnP
DH-021,15.1,20.1,TnP
DH-021,20.1,25.1,TnP
DH-021,28.65,33.65,TnP
DH-021,33.65,38.65,TnP
DH-021,38.65,43.65,GnP
DH-021,43.65,48.65,GnP
DH-021,48.65,53.65,GnP
DH-021,53.65,58.65,GnP
DH-021,58.65,61.47,GnP
DH-022,0,5,TnP
DH-022,5,10,TnP
DH-022,10,15,TnP
DH-023,0,5,TnP
DH-023,5,10,TnP
DH-023,10,15,TnP
DH-023,15,20,TnP
DH-023,20,22.9,TnP
DH-024,0,5,TnP
DH-024,5,10,TnP
DH-024,10,15,TnP
DH-024,15,20,TnP
DH-024,20,24,TnP
DH-024,31.8,36.8,TnP
DH-024,36.8,41.8,GnP
DH-024,44.65,49.65,GnP
DH-024,49.65,54.65,GnP
DH-024,54.65,59.65,GnP
DH-024,66.65,71.65,GnP
DH-024,71.65,76.65,GnP
DH-024,76.65,80.85,MzP
DH-025,0,5,TnP
DH-025,5,10,TnP
DH-025,10,14.83,TnP
DH-025,27,31.82,TnP
DH-025,45.67,50.67,GnP
DH-025,50.67,54.94,GnP
DH-026,0,5,TnP
DH-026,5,10,TnP
DH-026,10,15,TnP
DH-026,15,20,TnP
DH-026,20,25,TnP
DH-026,25,30,TnP
DH-026,34.9,39.9,TnP
DH-026,47.5,52.5,GnP
DH-026,57.75,62.75,GnP
DH-026,62.75,67.25,GnP
DH-027,0,5,TnP
DH-027,5,10,TnP
DH-027,18.5,23.5,TnP
DH-027,23.5,28.5,TnP
DH-028,0,5,TnP
DH-028,5,10,TnP
DH-028,10,15,TnP
DH-028,15,20,TnP
DH-028,25.72,30.72,TnP
DH-028,30.72,35.72,TnP
DH-028,35.72,40.72,TnP
DH-029,0,5,TnP
DH-029,5,10,TnP
DH-029,10,15,TnP
DH-029,15,20,TnP
DH-029,20,25,TnP
DH-029,25,30,TnP
DH-029,30,35,TnP
DH-029,35,40,TnP
DH-029,40,45,GnP
DH-029,45,50,GnP
DH-029,50,54.35,GnP
DH-030,0,5,TnP
DH-030,5,10,TnP
DH-030,10,15,TnP
DH-030,15,20,TnP
DH-030,20,24.17,TnP
DH-030,30.17,35.17,GnP
DH-030,41.89,44.4,GnP
DH-031,0,5,TnP
DH-031,5,10,TnP
DH-031,10,15,TnP
DH-031,15,20,TnP
DH-031,24.38,29.38,TnP
DH-031,29.38,34.38,TnP
DH-031,34.38,39.38,TnP
DH-031,39.38,44.38,GnP
DH-031,44.38,49.38,GnP
DH-031,49.38,54.38,GnP
DH-031,54.38,57.28,GnP
DH-031,66.05,68.6,GnP
DH-031,73.66,78.25,MzP
DH-032,0,4.75,TnP
DH-032,18.13,23.13,TnP
DH-032,23.13,26.43,TnP
DH-032,30.77,35.77,GnP
DH-032,35.77,38.82,GnP
DH-032,40.95,45.95,GnP
DH-032,45.95,50.95,GnP
DH-032,54.65,59.65,GnP
DH-032,59.65,62.9,GnP
DH-033,0,5,TnP
DH-033,5,10,GnP
DH-033,10,13.75,GnP
DH-034,0,5,TnP
DH-034,5,8.2,TnP
DH-034,12.95,16.35,TnP
DH-035,0,5,TnP
DH-035,5,10,TnP
DH-035,10,15,TnP
DH-035,15,19.35,GnP
DH-035,33.8,38.8,GnP
DH-035,38.8,43.8,GnP
DH-035,56.4,61.2,MzP
DH-036,0,5,TnP
DH-036,5,10,TnP
DH-036,18.75,23.75,TnP
DH-036,23.75,28.75,GnP
DH-036,28.75,33.75,GnP
DH-036,48.4,53.4,GnP
DH-036,53.4,58.4,GnP
DH-036,58.4,61.5,GnP
DH-037,0,5,MzP
DH-037,5,10,MzP
DH-037,10,12.9,MzP
DH-038,0,5,TnP
DH-038,10.65,15.65,TnP
DH-038,15.65,18.95,TnP
DH-039,0,5,TnP
DH-039,5,7.65,TnP
DH-039,15.3,20.3,TnP
DH-039,26.15,31.15,TnP
DH-039,31.15,34.05,GnP
DH-040,0,3.35,TnP
DH-040,28.6,32.2,TnP
DH-040,40.9,45.9,GnP
DH-040,45.9,50.9,GnP
DH-040,50.9,55.9,GnP
DH-041,0,5,TnP
DH-041,17.65,22.65,TnP
DH-041,22.65,25.45,TnP
DH-041,34.25,39.15,GnP
DH-041,70.3,74.7,MzP
DH-042,0,5,TnP
DH-042,5,8.75,TnP
DH-042,14.1,19.1,TnP
DH-042,19.1,24.1,TnP
DH-042,24.1,29.1,TnP
DH-042,33.3,35.85,TnP
DH-043,0,5,TnP
DH-043,5,10,GnP
DH-043,10,12.95,GnP
DH-043,17.95,22.95,GnP
DH-043,22.95,27.95,GnP
DH-043,27.95,32.95,GnP
DH-043,40.25,45.25,GnP
DH-043,45.25,48.85,MzP
DH-044,0,2.7,TnP
DH-044,80.55,84.35,MzP
DH-044,88.6,91.3,MzP
DH-045,0,2.9,TnP
DH-045,7.55,10.35,TnP
DH-046,0,5,TnP
DH-046,5,10,TnP
DH-046,10,15,TnP
DH-046,22.3,25.55,TnP
DH-047,0,2.7,TnP
DH-047,22.15,27.15,TnP
DH-047,27.15,31.4,TnP
DH-047,33.75,38.75,GnP
DH-047,38.75,41.7,GnP
DH-047,51.7,56.05,GnP
DH-047,67.1,72.1,MzP
DH-047,72.1,77.1,MzP
DH-048,0,5,GnP
DH-048,5,10,GnP
DH-048,10,15,GnP
DH-048,15,20,GnP
DH-048,20,25,MzP
DH-048,25,30,MzP
DH-049,0,5,TnP
DH-049,8.8,13.8,TnP
DH-049,13.8,18.8,TnP
DH-049,39.85,44.85,GnP
DH-049,50.6,55.6,GnP
DH-049,55.6,59.85,GnP
DH-049,63.35,68.35,GnP
DH-049,78.2,80.8,MzP
DH-050,0,4.2,TnP
DH-050,17.45,22.45,GnP
DH-050,74.4,79.4,MzP
DH-050,88.15,93.15,MzP
DH-050,93.15,98.15,MzP
DH-050,98.15,103.15,MzP
DH-050,103.15,108.15,MzP
DH-050,108.15,111.1,MzP
DH-051,0,5,MzP
DH-052,0,5,TnP
DH-052,5,8.8,TnP
DH-052,14.55,17.65,TnP
DH-052,26.5,31.5,GnP
DH-052,31.5,35.8,GnP
DH-053,0,5,TnP
DH-053,5,10,TnP
DH-053,10,15,TnP
DH-053,17.15,22.15,TnP
DH-053,22.15,27.15,TnP
DH-053,27.15,32.15,TnP
DH-053,32.15,37.15,TnP
DH-053,37.15,42.15,GnP
DH-053,66.85,70.7,GnP
DH-054,0,5,TnP
DH-054,8.8,13.8,TnP
DH-054,13.8,18.65,TnP
DH-054,50.05,55.05,GnP
DH-054,55.05,60.05,GnP
DH-054,60.05,64.35,GnP
DH-054,71.05,76.05,MzP
DH-054,79.25,83.65,MzP
DH-054,99.7,104.7,MzP
DH-055,0,5,TnP
DH-055,5,10,TnP
DH-055,10,12.7,TnP
DH-055,21.25,26.25,TnP
DH-055,26.25,31.25,TnP
DH-055,31.25,36.25,GnP
DH-055,36.25,41.25,GnP
DH-055,41.25,46.25,GnP
DH-055,46.25,51.25,GnP
DH-055,51.25,53.8,GnP
DH-055,58.4,61.35,GnP
DH-055,66.95,71.95,MzP
DH-055,106.05,109.9,MzP
DH-056,0,5,TnP
DH-056,5,7.5,TnP
DH-056,14.15,17.9,GnP
DH-056,52.9,57.9,MzP
DH-056,57.9,62.9,MzP
DH-056,62.9,67.9,MzP
DH-056,67.9,72.9,MzP
DH-056,77.35,82.35,MzP
DH-056,82.35,87.35,MzP
DH-056,87.35,92.35,MzP
DH-056,92.35,97.35,MzP
DH-057,0,5,TnP
DH-057,5,10,GnP
DH-057,50.9,55.4,MzP
DH-057,57.7,62.7,MzP
DH-057,62.7,66.85,MzP
DH-057,89,94,MzP
DH-057,94,99,MzP
DH-057,99,104,MzP
DH-057,104,109,MzP
DH-057,109,114,MzP
DH-058,0,4.8,TnP
DH-058,82.45,87.45,MzP
DH-058,87.45,91.9,MzP
DH-058,95.6,100.6,MzP
DH-058,100.6,105.6,MzP
DH-058,105.6,110.6,MzP
