HOLEID,AT,AZM,DIP
DH-001,0.0,152.59069,62.000876
DH-001,2.5,152.59069,62.000876
DH-001,7.025,153.000001,62.000001
DH-002,0.0,151.000001,61.000001
DH-002,2.025,151.000001,61.000001
DH-003,0.0,152.000001,58.000001
DH-003,2.5,152.000001,58.000001
DH-003,7.5,151.399999,58.000942
DH-004,0.0,153.000001,59.998373
DH-004,2.175,153.000001,59.998373
DH-004,10.7,153.907191,59.000325
DH-005,0.0,151.000001,61.950001
DH-005,2.5,151.000001,61.950001
DH-005,7.5,151.165226,62.0005
DH-006,0.0,154.000001,62.000001
DH-006,2.5,154.000001,62.000001
DH-007,0.0,172.000001,60.102099
DH-007,2.5,172.000001,60.102099
DH-007,6.34,172.000001,60.157732
DH-007,19.58,172.000001,60.42429
DH-007,23.49,172.000001,60.481982
DH-007,40.12,172.000001,60.808596
DH-007,44.81,172.000001,60.891609
DH-007,57.95,171.847397,60.851823
DH-007,62.95,171.750157,60.756591
DH-007,67.295,171.676755,60.684282
DH-007,73.85,171.53561,60.544204
DH-007,77.875,171.473074,60.481702
DH-007,91.25,171.200203,60.205791
DH-007,96.25,171.109551,60.112965
DH-008,0.0,175.000001,58.91645
DH-008,2.5,175.000001,58.91645
DH-008,6.44,175.000001,58.631281
DH-008,13.33,175.000001,57.888279
DH-008,18.33,175.000001,57.452779
DH-008,23.33,175.000001,57.053334
DH-008,28.33,175.000001,57.000001
DH-008,33.33,175.000001,57.000001
DH-008,38.33,175.000001,57.000001
DH-008,43.33,175.000001,57.000001
DH-008,48.33,175.000001,57.000001
DH-008,53.33,175.000001,57.000001
DH-008,58.33,175.000001,57.000001
DH-008,63.33,175.000001,57.000001
DH-008,67.65,175.000001,57.000001
DH-009,0.0,0.0,90.0
DH-009,2.5,0.0,90.0
DH-009,7.5,183.576334,90.000002
DH-009,12.5,180.0,90.000002
DH-009,23.08,0.0,90.0
DH-009,27.445,0.0,90.000002
DH-009,36.85,0.0,90.0
DH-010,0.0,200.0,50.000001
DH-010,1.7,200.0,50.000001
DH-010,7.8,200.0,50.000001
DH-010,23.1,200.0,50.000001
DH-010,30.7,200.0,50.000001
DH-010,34.95,200.0,50.000001
DH-010,54.05,200.0,50.000001
DH-010,63.75,200.0,50.000001
DH-011,0.0,0.0,90.0
DH-011,1.545,0.0,90.0
DH-011,7.57,0.0,90.0
DH-011,26.665,0.0,90.0
DH-011,53.435,0.0,90.0
DH-012,0.0,151.065208,58.597297
DH-012,2.5,151.065208,58.597297
DH-012,27.8,153.019468,55.669238
DH-012,32.8,153.335637,55.146844
DH-012,37.175,153.627257,54.651824
DH-012,44.07,153.97064,53.84507
DH-012,49.07,153.885015,53.386569
DH-012,56.8,153.748695,52.635547
DH-012,61.8,153.674354,52.214734
DH-012,66.8,153.590953,51.7329
DH-012,74.27,153.469295,51.011033
DH-013,0.0,150.317684,59.943774
DH-013,2.5,150.317684,59.943774
DH-014,0.0,149.462673,59.740091
DH-014,2.205,149.462673,59.740091
DH-014,37.815,148.048373,59.025263
DH-014,60.055,147.559945,57.741325
DH-014,69.16,147.377384,57.191562
DH-014,74.16,147.280094,56.891629
DH-014,79.16,147.184371,56.591671
DH-014,84.16,147.090178,56.291717
DH-014,88.86,147.008111,56.026422
DH-015,0.0,163.426552,58.783676
DH-015,2.31,163.426552,58.783676
DH-015,13.9,163.682162,58.010751
DH-015,31.5,164.000001,56.944003
DH-015,40.51,164.000001,56.73945
DH-015,45.51,164.000001,56.62958
DH-015,50.51,164.000001,56.519718
DH-015,62.825,164.000001,56.249441
DH-015,83.05,165.061757,55.415869
DH-015,88.05,165.637043,55.088062
DH-015,93.0,166.192011,54.764045
DH-016,0.0,151.752968,59.529593
DH-016,2.5,151.752968,59.529593
DH-016,7.5,152.984877,58.720876
DH-016,30.65,158.03177,54.822417
DH-016,51.675,160.000001,51.958837
DH-016,73.0,160.000001,49.824079
DH-016,78.0,160.000001,49.360926
DH-017,0.0,150.846301,59.549101
DH-017,2.5,150.846301,59.549101
DH-017,7.5,150.588274,58.763599
DH-017,12.5,150.334026,57.952707
DH-017,21.3,149.875899,56.391648
DH-017,26.3,149.661518,55.613603
DH-017,31.3,149.443529,54.789092
DH-017,35.9,149.257625,54.057994
DH-017,54.35,148.653816,51.693517
DH-017,59.35,148.526509,51.192978
DH-018,0.0,151.000001,59.649534
DH-018,2.5,151.000001,59.649534
DH-018,7.5,151.000001,59.044212
DH-018,12.5,151.000001,58.440451
DH-018,17.5,151.000001,57.841978
DH-018,22.5,151.000001,57.204922
DH-018,27.5,151.000001,56.57777
DH-018,32.5,151.000001,55.944151
DH-018,37.5,151.000001,55.324665
DH-018,42.5,150.879268,54.858602
DH-018,47.5,150.624487,54.81844
DH-018,55.1,150.250872,54.635002
DH-018,60.1,150.007291,54.513887
DH-018,65.1,149.761522,54.390453
DH-018,70.1,149.499308,54.257382
DH-019,0.0,152.214755,58.495463
DH-019,1.325,152.214755,58.495463
DH-019,12.52,153.091204,57.315714
DH-019,20.45,153.678415,56.476888
DH-019,47.95,155.269748,53.554559
DH-020,0.0,151.224952,59.929386
DH-020,2.5,151.224952,59.929386
DH-020,15.78,152.303863,59.581063
DH-020,20.78,152.685453,59.453969
DH-020,25.78,153.064103,59.325794
DH-020,30.78,153.43987,59.196539
DH-020,35.78,153.832858,59.065989
DH-020,40.58,154.000001,58.949477
DH-020,47.71,154.000001,58.742972
DH-020,52.71,154.000001,58.611471
DH-020,57.71,154.000001,58.479967
DH-020,62.47,154.000001,58.360787
DH-021,0.0,151.310824,60.241498
DH-021,2.115,151.310824,60.241498
DH-021,12.6,152.933693,61.435843
DH-021,17.6,153.746714,61.994781
DH-021,22.6,154.590575,62.549139
DH-021,31.15,156.137597,63.501979
DH-021,36.15,156.900641,63.766658
DH-021,41.15,157.000001,62.744477
DH-021,46.15,157.000001,61.534438
DH-021,51.15,157.000001,60.315983
DH-021,56.15,157.000001,59.090434
DH-021,60.06,157.000001,58.525117
DH-022,0.0,151.149395,59.859493
DH-022,2.5,151.149395,59.859493
DH-022,7.5,151.422434,59.599147
DH-022,12.5,151.690999,59.338511
DH-023,0.0,151.163129,59.775035
DH-023,2.5,151.163129,59.775035
DH-023,7.5,151.43704,59.389886
DH-023,12.5,151.704468,59.004648
DH-023,17.5,151.966128,58.618638
DH-023,21.45,152.097252,58.421734
DH-024,0.0,151.000001,59.774917
DH-024,2.5,151.000001,59.774917
DH-024,7.5,151.000001,59.379464
DH-024,12.5,151.000001,58.985253
DH-024,17.5,151.000001,58.589435
DH-024,22.0,151.000001,58.225994
DH-024,34.3,151.000001,57.214788
DH-024,39.3,151.099401,56.85795
DH-024,47.15,151.587982,56.436618
DH-024,52.15,151.857553,56.171666
DH-024,57.15,152.123095,55.906467
DH-024,69.15,152.748702,55.264693
DH-024,74.15,153.000001,55.000001
DH-024,78.75,153.000001,55.000001
DH-025,0.0,0.0,90.000002
DH-025,2.5,0.0,90.000002
DH-025,7.5,180.0,90.000002
DH-025,12.415,0.0,90.0
DH-025,29.41,0.0,90.0
DH-025,48.17,90.0,90.000002
DH-025,52.805,0.0,90.0
DH-026,0.0,151.000001,59.673101
DH-026,2.5,151.000001,59.673101
DH-026,7.5,151.000001,59.098851
DH-026,12.5,151.000001,58.526979
DH-026,17.5,151.000001,57.993874
DH-026,22.5,151.000001,57.317958
DH-026,27.5,151.000001,56.744089
