HOLEID,X,Y,Z,ENDDEPTH
M001,3999.20,7499.10,727.20,250.00
M002,4050.40,7500.80,726.90,250.00
M003,4098.90,7500.60,727.70,250.00
M004,4149.10,7501.10,728.90,275.00
M005,4199.60,7499.90,729.70,300.00
M006,4250.20,7099.30,707.20,480.00
M007,4250.00,7149.80,703.10,425.00
M008,4250.90,7200.90,706.30,409.00
M009,4250.00,7251.00,710.80,410.00
M010,4500.70,7099.20,693.90,500.00
M011,4500.90,7149.70,696.00,500.00
M012,4500.70,7200.40,698.10,425.00
M013,4500.40,7249.30,699.90,500.00
M014,4499.00,7301.00,701.80,500.00
MAR001,3891.20,7283.40,722.80,96.00
MAR002,4072.50,7367.90,722.00,71.00
MAR003,4253.80,7452.50,727.30,71.00
MAR004,4435.00,7537.00,717.80,81.00
MAR005,4616.30,7621.50,713.70,100.00
MAR006,4797.50,7706.00,713.50,100.00
MAR007,3806.70,7464.70,726.50,93.50
MAR008,3988.00,7549.20,728.70,86.00
MAR009,4169.20,7633.70,728.60,96.00
MAR010,4350.50,7718.30,720.60,96.00
MAR011,4531.80,7802.80,713.40,74.00
MAR012,4713.00,7887.30,713.50,77.30
MAR013,4157.00,7186.70,717.40,86.00
MAR014,4338.30,7271.20,711.10,96.00
MAR015,4519.50,7355.70,705.30,100.00
MAR016,4387.10,7404.30,719.00,381.00
MAR017,4386.90,7404.20,719.00,396.00
MAR018,4386.60,7404.10,719.00,450.00
MAR019,4339.00,7271.50,711.10,396.00
MAR020,4338.70,7271.40,711.10,500.00
MAR021,4338.50,7271.30,711.10,500.00
MAR022,4338.30,7271.20,711.10,471.00
MAR023,4157.50,7186.90,717.40,391.00
MAR024,4157.20,7186.80,717.40,441.00
MAR025,4157.00,7186.70,717.40,440.00
MAR026,4568.50,7488.90,708.70,396.00
MAR027,4568.20,7488.70,708.70,450.00
MAR028,4567.90,7488.60,708.70,460.00
MRV1,3840.00,7140.00,721.90,50.00
MRV2,3940.80,7138.80,721.50,50.00
MRV3,4039.90,7139.60,720.90,50.00
MRV4,4139.20,7140.10,718.90,50.00
MRV5,4240.40,7140.30,704.00,50.00
MRV6,4340.30,7138.90,700.00,50.00
MRV7,4439.40,7139.10,697.50,50.00
MRV8,4540.70,7139.90,695.30,50.00
MRV9,4639.00,7139.30,688.50,50.00
MRV10,4740.30,7141.00,686.90,50.00
MRV11,3840.30,7340.20,723.70,424.00
MRV12,3940.60,7340.50,723.30,423.00
MRV13,4040.60,7340.70,722.20,422.00
MRV14,4140.30,7339.40,719.60,420.00
MRV15,4239.50,7340.70,720.10,420.00
MRV16,4340.90,7339.60,717.20,417.00
MRV17,4440.70,7339.40,710.20,410.00
MRV18,4541.00,7339.80,702.80,403.00
MRV19,4639.00,7340.70,698.00,100.00
MRV20,4739.20,7338.90,696.50,100.00
MRV21,3839.70,7540.20,727.40,427.00
MRV22,3939.40,7539.90,728.70,429.00
MRV23,4039.30,7539.80,728.20,428.00
MRV24,4139.80,7540.30,729.60,430.00
MRV25,4239.30,7539.80,729.40,429.00
MRV26,4340.60,7540.30,723.30,423.00
MRV27,4440.30,7540.00,717.50,418.00
MRV28,4539.70,7541.10,712.60,100.00
MRV29,4639.90,7539.60,708.60,100.00
MRV30,4739.10,7539.90,705.20,100.00
MRV31,3840.80,7739.30,723.80,100.00
MRV32,3940.00,7739.70,729.40,429.00
MRV33,4039.40,7740.00,728.90,429.00
MRV34,4139.60,7738.90,729.40,429.00
MRV35,4240.50,7739.20,720.00,420.00
MRV36,4340.90,7740.80,719.60,420.00
MRV37,4440.30,7739.90,716.50,416.00
MRV38,4539.80,7740.10,715.00,415.00
MRV39,4640.10,7739.00,712.80,413.00
MRV40,4739.10,7739.20,716.00,100.00
MRV41,3840.90,7939.40,719.10,100.00
MRV42,3940.60,7939.80,724.10,100.00
