HOLEID,FROM,TO,DOMAIN,ROCKTYPE,WEATH
M001,0,2.5,D2,AvT,OX
M001,2.5,5,D2,AvT,OX
M001,5,7.5,D2,AvT,OX
M001,7.5,10,D2,AvT,OX
M001,10,12.5,D2,AvT,OX
M001,12.5,15,D2,AvT,OX
M001,15,17.5,D2,AvT,OX
M001,17.5,20,D2,AvT,OX
M001,20,22.5,D2,AvT,OX
M001,22.5,25,D2,AvT,OX
M001,25,27.5,D2,AvT,OX
M001,27.5,30,D2,AvT,OX
M001,30,32.5,D2,AvT,OX
M001,32.5,35,D2,AvT,OX
M001,35,37.5,D2,AvT,OX
M001,37.5,40,D2,AvT,OX
M001,40,42.5,D2,AvT,MX
M001,42.5,45,D2,AvT,MX
M001,45,47.5,D2,AvT,MX
M001,47.5,50,D2,AvT,MX
M001,50,52.5,D2,AvT,MX
M001,52.5,55,D2,AvT,MX
M001,55,57.5,D2,AvT,MX
M001,57.5,60,D2,AvT,MX
M001,60,62.5,D2,AvT,MX
M001,62.5,65,D2,AvT,MX
M001,65,67.5,D2,AvT,MX
M001,67.5,70,D2,AvT,MX
M001,70,72.5,D2,AvT,MX
M001,72.5,75,D2,AvT,MX
M001,75,77.5,D2,AvT,MX
M001,77.5,80,D2,AvT,MX
M001,80,82.5,D2,AvT,MX
M001,82.5,85,D2,AvT,MX
M001,85,87.5,D2,AvT,MX
M001,87.5,90,D2,AvT,MX
M001,90,92.5,D2,AvT,MX
M001,92.5,95,D2,AvT,MX
M001,95,97.5,D2,AvT,MX
M001,97.5,100,D2,AvT,MX
M001,100,102.5,D2,AvT,MX
M001,102.5,105,D2,AvT,MX
M001,105,107.5,D2,AvT,MX
M001,107.5,110,D2,AvT,MX
M001,110,112.5,D3,AvT,MX
M001,112.5,115,D3,AvT,MX
M001,115,117.5,D3,AvT,MX
M001,117.5,120,D3,AvT,MX
M001,120,122.5,D3,AvT,MX
M001,122.5,125,D3,AvT,MX
M001,125,127.5,D3,AvT,MX
M001,127.5,130,D3,AvT,MX
M001,130,132.5,D3,AvT,MX
M001,132.5,135,D3,AvT,MX
M001,135,137.5,D3,AvT,MX
M001,137.5,140,D3,AvT,MX
