HOLEID,AT,AZM,DIP
M001,0,0,90
M001,250,300,75
M002,0,0,90
M002,250,300,75
M003,0,0,90
M003,250,300,75
M004,0,0,90
M004,275,300,74
M005,0,0,90
M005,300,300,73
M006,0,0,90
M006,480,300,72
M007,0,0,90
M007,425,300,71
M008,0,0,90
M008,409,300,75
M009,0,0,90
M009,410,300,75
M010,0,0,90
M010,500,300,67
M011,0,0,90
M011,500,300,65
M012,0,0,90
M012,425,300,71
M013,0,0,90
M013,500,312,70
M014,0,0,90
M014,500,310,68
MAR001,0,65,60
MAR002,0,65,60
MAR003,0,65,60
MAR004,0,65,60
MAR005,0,65,60
MAR006,0,65,60
MAR007,0,65,60
MAR008,0,65,60
MAR009,0,65,60
MAR010,0,65,60
MAR011,0,65,60
MAR012,0,65,60
MAR013,0,65,60
MAR014,0,65,60
MAR015,0,65,60
MAR016,0,335,45
MAR016,112,326,44
MAR016,212,327,43
MAR016,312,324,41
MAR016,380,318,40
MAR017,0,335,60
MAR017,97,333,59
MAR017,117,330,57
MAR017,327,326,55
MAR017,396,323,60
MAR018,0,335,75
MAR018,105,333,71
MAR018,205,328,68
MAR018,305,322,62
MAR018,405,319,60
MAR018,450,316,75
MAR019,0,320,45
MAR019,150,316,41
MAR019,300,313,39
MAR019,395,307,37
MAR020,0,320,60
MAR020,150,317,58
MAR020,300,315,56
MAR020,425,311,54
MAR020,500,305,52
MAR021,0,320,75
MAR021,150,312,71
MAR021,350,307,63
MAR021,500,304,55
MAR022,0,320,90
MAR022,150,312,83
MAR022,350,306,74
MAR022,470,302,67
MAR023,0,305,50
MAR023,200,301,44
MAR023,391,299,38
MAR024,0,305,70
MAR024,150,301,66
MAR024,350,299,64
MAR024,420,300,58
MAR025,0,305,90
MAR025,150,312,87
MAR025,350,306,81
MAR025,440,300,78
MAR026,0,305,50
MAR026,125,299,48
MAR026,250,295,41
MAR026,385,293,34
MAR027,0,305,70
MAR027,150,302,64
MAR027,320,299,59
MAR027,440,297,53
MAR028,0,305,90
MAR028,150,301,83
MAR028,325,297,75
MAR028,420,293,69
MAR028,460,290,61
MRV1,0,0,90
MRV2,0,0,90
MRV3,0,0,90
MRV4,0,0,90
MRV5,0,0,90
MRV6,0,0,90
MRV7,0,0,90
MRV8,0,0,90
MRV9,0,0,90
MRV10,0,0,90
MRV11,0,0,90
MRV11,424,310,75
MRV12,0,0,90
MRV12,423,275,79
MRV13,0,0,90
MRV13,422,300,75
MRV14,0,0,90
MRV14,420,281,80
MRV15,0,0,90
MRV15,420,297,85
MRV16,0,0,90
MRV16,417,303,85
MRV17,0,0,90
MRV17,410,310,79
MRV18,0,0,90
MRV18,403,315,81
