Xloc,Yloc,Landuse,Rock,cadmium,cobalt,Cr,Cu,nickel,lead,Zn
2.386,3.077,Campo,Sequaniano,1.74,9.32,38.32,25.72,21.32,77.36,92.56
2.544,1.972,Pastagem,Kimmeridgiano,1.335,10,40.2,24.76,29.72,77.88,73.56
2.807,3.347,Pastagem,Sequaniano,1.61,10.6,47,8.88,21.4,30.8,64.8
4.308,1.933,Campo,Kimmeridgiano,2.15,11.92,43.52,22.7,29.72,56.4,90
4.383,1.081,Campo,Quaternario,1.565,16.32,38.52,34.32,26.2,66.4,88.4
3.244,4.519,Campo,Quaternario,1.145,3.508,40.4,31.28,22.04,72.4,75.2
3.925,3.785,Campo,Quaternario,0.894,15.08,30.52,27.44,21.76,60,72.4
2.116,3.498,Campo,Argoviano,0.525,,25.4,66.12,9.72,141,72.08
1.842,0.989,Campo,Argoviano,0.24,4.52,27.96,22.32,11.32,52.4,56.4
1.709,1.843,Campo,Sequaniano,0.625,12.08,33.32,18.72,16.88,41.6,75.6
3.8,4.578,Campo,Argoviano,3.873,9.84,46,22.24,21.64,46,143.2
2.699,1.199,Floresta,Argoviano,1.425,7.56,,8.76,15.72,56.4,66.8
3.033,4.384,Campo,Quaternario,0.455,2.368,19.24,21.36,7.08,38.36,37.88
4.232,1.588,Floresta,Kimmeridgiano,1.025,8.84,28.32,5.88,17.4,52.8,47.6
4.75,1.369,Campo,Kimmeridgiano,0.775,11.96,35.6,17.6,23.76,32.92,70.8
2.341,4.135,Campo,Argoviano,0.62,5.32,31,18.52,10.8,42,46.8
2.827,3.667,Campo,Quaternario,0.4,4.68,20.52,3.96,6.68,21.48,25.2
3.043,4.692,Campo,Argoviano,0.625,3.536,25.2,8.24,11.32,29.92,31.32
1.687,1.174,Campo,Argoviano,0.355,3.64,18.4,21.56,6.64,46.8,
2.235,2.386,Campo,Quaternario,1.585,12.44,40.56,40.88,25.08,88.68,114.28
3.122,1.695,Campo,Kimmeridgiano,1.885,12.92,44,35.92,34.72,72.88,120.28
2.219,2.774,Pastagem,Kimmeridgiano,1.3,13.04,32.48,8.8,31.52,56.52,71.76
3.185,2.092,Campo,Kimmeridgiano,1.575,11.2,35.72,22.12,35,43.68,90.68
3.514,5.119,Pastagem,Argoviano,4.191,9.28,52,,21.76,33.36,145.6
4.459,2.624,Floresta,Kimmeridgiano,,6.84,19,11.16,15.84,34.64,82.8
4.339,1.473,Campo,Quaternario,0.915,,32.72,39.8,18.6,64.8,86
4.92,1.417,Campo,Kimmeridgiano,0.705,,30.28,15.76,21.96,39.52,66.4
3.648,3.78,Campo,Kimmeridgiano,0.62,14.16,28.56,48.8,24.44,63.2,78
2.916,4.916,Floresta,Argoviano,0.885,6.28,27.92,4.52,13.88,37.16,46.8
3.127,1.691,Campo,Kimmeridgiano,1.96,13.4,45.2,47.12,35.12,93.92,123.84
3.441,4.719,Pastagem,Quaternario,3.155,,62.4,48.8,24.28,55.6,151.6
3.336,4.613,Campo,Quaternario,1.28,5.92,,24.96,23.28,49.2,81.6
3.649,2.674,Floresta,Kimmeridgiano,1.785,7.44,23.72,9.652,17.72,58.4,58
3.875,4.924,Campo,Quaternario,1.895,11.48,52,25.28,26.72,35.6,141.6
2.612,4.114,Campo,Argoviano,0.57,4.88,27.32,33.8,7.44,58.4,47.6
2.34,4.141,Campo,Argoviano,0.54,5.48,35.72,17.4,10.6,36.88,53.2
3.811,1.318,Campo,Kimmeridgiano,0.75,12.6,36.2,16.4,26.6,39.8,80.8
3.661,3.788,Campo,Kimmeridgiano,0.875,14.64,28.88,65.2,20.8,69.6,76.4
4.34,3.736,Pastagem,Sequaniano,2.818,11.24,35.04,29.12,21.96,46,80.8
2.972,0.988,Pastagem,Sequaniano,3.805,9.16,67.04,112.04,28.88,229.56,219.32
2.286,3.068,Campo,Sequaniano,0.605,9.68,27.32,28.8,12.8,56.6,67.16
1.813,2.116,Campo,Sequaniano,1.003,11.32,33.48,21.2,20.56,48.8,110
3.379,4.308,Campo,Quaternario,1.9,8.52,46.4,10.28,24.8,36.44,83.6
1.965,2.807,Campo,Sequaniano,0.895,12.6,41.6,60.72,24.16,89.68,102.44
3.559,4.009,Pastagem,Sequaniano,4.02,6.16,60.8,21.08,21.96,52,101.6
2.267,4.189,Campo,Argoviano,0.56,6.64,35.12,12.72,11.12,39.64,57.2
2.965,1.002,Pastagem,Sequaniano,1.39,10.36,45.6,57.2,24.6,129.2,149.2
3.12,1.469,Floresta,Sequaniano,1.91,2.12,31.12,11.6,8,69.16,50.4
3.454,4.654,Pastagem,Quaternario,1.07,7.8,38.24,10.88,19.92,29.88,70.8
1.071,1.567,Pastagem,Sequaniano,0.795,9.96,29.08,9.92,15.28,37.48,65.6
3.573,3.542,Campo,Quaternario,0.55,9.56,26.6,50.4,16,77.2,76
3.331,4.609,Campo,Quaternario,1.255,7,42.8,49.6,25.44,80.4,101.6
3.541,1.739,Lavoura,Sequaniano,2.055,6.32,29.8,10.8,20.8,43.6,59.36
3.303,3.963,Campo,Sequaniano,1.22,11,34.04,51.6,20.32,80.8,90
3.316,2.987,Campo,Quaternario,0.975,14.6,33,30.1,23.6,48.8,83.2
1.879,1.171,Campo,Argoviano,0.465,4,24.64,23.32,9.16,54.8,44.4
1.122,2.267,Campo,Kimmeridgiano,1.145,11.08,37.08,14.8,31.56,47.6,74.4
4.423,1.078,Campo,Quaternario,1.525,16.92,38.6,22,26.8,46.8,87.6
1.241,1.155,Floresta,Argoviano,1.455,4.52,20.2,7.28,12.68,36.52,39.6
1.706,1.848,Campo,Sequaniano,1.12,11.92,34.84,20.72,19.96,41.2,83.2
3.26,5.42,Campo,Kimmeridgiano,1.819,11.72,38.04,17.6,28.6,35.8,82.4
4.081,0.897,Campo,Quaternario,0.495,11.2,22.4,14.32,10.92,32.76,50.4
3.077,2.926,Pastagem,Kimmeridgiano,2.12,10.12,35.32,12.32,21.52,42.4,64.8
3.406,4.741,Pastagem,Quaternario,2.15,7.32,48,28.96,19.72,42.8,120.8
3.699,3.8,Campo,Kimmeridgiano,0.65,11.6,27.44,35.56,19.28,80.8,74
1.619,2.883,Campo,Sequaniano,0.84,6.8,30.56,22.84,16.08,50.4,58.8
3.196,1.814,Floresta,Kimmeridgiano,3.925,12.92,25.6,47.4,26.12,84.16,92.36
3.447,4.733,Pastagem,Quaternario,1.98,8.4,40.8,27.12,17.68,39.92,108
3.009,4.738,Campo,Argoviano,0.45,3.536,25.64,12.44,10,34,39.4
3.452,4.736,Pastagem,Quaternario,2.96,7.2,45.2,38.96,15,70.4,148.4
2.908,1.263,Campo,Argoviano,1.685,9.84,31.28,9.4,14.72,34.56,84.32
4.578,1.512,Campo,Kimmeridgiano,1.305,13.52,45.52,17.5,27.2,38.96,77.6
3.512,5.124,Pastagem,Argoviano,4.227,9.64,48.4,16.88,22.92,34.64,136.8
3.312,2.991,Campo,Quaternario,0.98,12.52,32.6,22.7,19.4,41.6,72.8
2.159,2.041,Campo,Kimmeridgiano,1.57,10.44,37.72,17.44,28.32,49.6,81.6
4.742,1.381,Campo,Kimmeridgiano,0.86,11.88,32.72,15.12,23.48,32.84,63.6
3.592,4.027,Pastagem,Sequaniano,2.17,10.84,55.2,12.52,29.48,37.68,74.4
3.152,3.272,Campo,Kimmeridgiano,1.56,12.8,42.6,34,23.52,76.4,94
4.781,1.375,Campo,Kimmeridgiano,0.81,10.88,27.44,12.08,20.84,36.28,58.8
2.319,2.405,Campo,Quaternario,1.71,12.84,43.4,56.24,26.96,104.68,125.4
3.617,2.084,Campo,Kimmeridgiano,0.845,12.8,33.72,27.92,26.2,78.8,79.6
2.278,0.929,Campo,Argoviano,0.357,4.08,19.36,13.24,6.56,35.4,46.8
3.792,2.695,Floresta,Kimmeridgiano,1.535,6.76,20.32,5.88,13.4,55.2,52.4
4.113,2.7,Floresta,Kimmeridgiano,1.285,1.552,8.72,13.64,7.16,84.4,65.2
3.043,4.698,Campo,Argoviano,1.82,3.924,27.36,7.6,10.44,27.04,39.8
3.271,2.16,Campo,Quaternario,0.945,13.32,37.8,37.4,32.6,59.04,104.36
1.433,1.525,Campo,Quaternario,1.605,7.36,67.6,13.48,16.2,49.6,75.2
3.184,2.098,Campo,Kimmeridgiano,2.23,11.92,37.8,24.6,37.72,44.88,96.6
3.675,4.293,Pastagem,Sequaniano,0.89,8.6,37.68,4.4,22.96,26.76,66
3.681,5.69,Pastagem,Kimmeridgiano,1.898,12.64,54,15.16,28.36,59.2,86
2.461,3.423,Lavoura,Quaternario,0.37,3.14,22.6,15.72,6.08,29.36,47.2
4.576,1.411,Campo,Kimmeridgiano,1.38,11.28,37.6,15.64,25.76,34.44,71.6
2.223,0.58,Campo,Kimmeridgiano,0.285,9.6,38,14.16,24.52,44,76
3.031,1.201,Campo,Sequaniano,0.61,6.44,21.84,16.4,10.36,52.56,51.24
3.347,2.505,Floresta,Kimmeridgiano,0.625,6.96,33.2,5.36,19.2,41.2,43.6
2.465,4.003,Campo,Argoviano,0.325,3.192,21.4,9.72,4.72,24.64,35.08
3.175,2.102,Campo,Kimmeridgiano,1.985,12.2,38.4,18.92,37.2,42.68,89.84
3.733,0.974,Campo,Kimmeridgiano,0.95,8.92,40.8,15.4,26.52,36.6,74
3.085,1.677,Campo,Kimmeridgiano,2.04,11.8,40.4,26.2,29.8,63.92,107.2
2.595,3.638,Campo,Quaternario,0.325,3.712,14.52,17.52,4.76,44.4,40.8
4.279,3.283,Campo,Kimmeridgiano,0.83,13.36,33.6,19.2,24.64,36.36,84.4
2.933,0.978,Pastagem,Sequaniano,0.8,12.4,31.44,166.4,16,146.8,100.4
3.59,4.033,Pastagem,Sequaniano,2.08,7.92,56.4,11.52,24.84,37.56,79.6
2.883,1.237,Campo,Argoviano,2.55,8.52,31.24,12.12,16.12,36.56,96.96
2.429,1.62,Campo,Sequaniano,2.535,11.84,52.4,31.96,26.64,77.6,126.8
2.333,2.417,Campo,Quaternario,1.435,9.12,37.44,53.2,21.32,107.6,110.32
0.626,1.652,Floresta,Kimmeridgiano,0.375,7.28,33.32,4.2,14.4,37.12,46.4
2.969,0.778,Pastagem,Kimmeridgiano,1.93,12.44,43.04,77.32,33.76,157.28,166.28
0.971,1.576,Campo,Sequaniano,1.215,10.08,29.28,9.8,15.2,35.64,64
1.392,1.846,Campo,Sequaniano,1.05,10.6,39.24,7.44,20,37.68,48.4
2.54,3.32,Campo,Sequaniano,1.26,9.76,45.32,17.2,17.6,53.6,62.8
1.738,1.771,Campo,Sequaniano,0.685,11.92,33.64,19.64,16.24,41.6,76
2.243,3.031,Campo,Sequaniano,0.705,11.8,29.92,19.2,14.6,34,59.88
3.656,2.63,Floresta,Kimmeridgiano,1.385,2.072,9.72,9.232,5.36,80.4,49.2
2.325,4.143,Campo,Argoviano,0.505,5.48,34,14,10.92,33.24,54.4
4.55,1.416,Campo,Kimmeridgiano,1.74,12.4,44.32,18.1,27.72,41.6,73.6
4.325,1.436,Campo,Quaternario,0.56,11.6,26.92,19.4,13.72,36.76,57.2
3.669,4.291,Pastagem,Sequaniano,1.917,8.44,33.48,8.4,18.72,35.12,59.6
1.877,1.186,Campo,Argoviano,0.32,3.8,18.2,26.16,6.44,45.2,39.88
3.044,1.123,Campo,Sequaniano,0.63,12,31.28,18.04,18.68,38.24,80.76
